file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,7277a694,debsterzzz,2025-10-13,23:37:00,-07:00,2025-10-13T23:37:00-07:00,0,21
style.css,2,css,36918d90,debsterzzz,2025-10-13,20:09:43,-07:00,2025-10-13T20:09:43-07:00,1,42
style.css,3,css,36918d90,debsterzzz,2025-10-13,20:09:43,-07:00,2025-10-13T20:09:43-07:00,1,0
style.css,4,css,97768553,debsterzzz,2025-10-03,22:58:58,-07:00,2025-10-03T22:58:58-07:00,1,43
style.css,5,css,97768553,debsterzzz,2025-10-03,22:58:58,-07:00,2025-10-03T22:58:58-07:00,0,42
style.css,6,css,97768553,debsterzzz,2025-10-03,22:58:58,-07:00,2025-10-03T22:58:58-07:00,0,0
style.css,7,css,97768553,debsterzzz,2025-10-03,22:58:58,-07:00,2025-10-03T22:58:58-07:00,1,23
style.css,8,css,b0f526b8,debsterzzz,2025-10-13,20:47:15,-07:00,2025-10-13T20:47:15-07:00,0,0
style.css,9,css,d05fc4b2,debsterzzz,2025-10-13,20:57:56,-07:00,2025-10-13T20:57:56-07:00,0,16
style.css,10,css,d05fc4b2,debsterzzz,2025-10-13,20:57:56,-07:00,2025-10-13T20:57:56-07:00,1,20
style.css,11,css,d05fc4b2,debsterzzz,2025-10-13,20:57:56,-07:00,2025-10-13T20:57:56-07:00,1,12
style.css,12,css,b1579daf,debsterzzz,2025-10-13,23:01:03,-07:00,2025-10-13T23:01:03-07:00,1,16
style.css,13,css,d05fc4b2,debsterzzz,2025-10-13,20:57:56,-07:00,2025-10-13T20:57:56-07:00,1,17
style.css,14,css,d05fc4b2,debsterzzz,2025-10-13,20:57:56,-07:00,2025-10-13T20:57:56-07:00,1,23
style.css,15,css,d05fc4b2,debsterzzz,2025-10-13,20:57:56,-07:00,2025-10-13T20:57:56-07:00,1,24
style.css,16,css,1f275019,debsterzzz,2025-10-22,03:07:58,-07:00,2025-10-22T03:07:58-07:00,1,39
style.css,17,css,b0f526b8,debsterzzz,2025-10-13,20:47:15,-07:00,2025-10-13T20:47:15-07:00,0,0
style.css,18,css,d7779ccf,debsterzzz,2025-10-13,21:39:32,-07:00,2025-10-13T21:39:32-07:00,0,5
style.css,19,css,d7779ccf,debsterzzz,2025-10-13,21:39:32,-07:00,2025-10-13T21:39:32-07:00,1,6
style.css,20,css,ec52a4e3,debsterzzz,2025-10-13,21:12:53,-07:00,2025-10-13T21:12:53-07:00,1,20
style.css,21,css,d7779ccf,debsterzzz,2025-10-13,21:39:32,-07:00,2025-10-13T21:39:32-07:00,1,12
style.css,22,css,d7779ccf,debsterzzz,2025-10-13,21:39:32,-07:00,2025-10-13T21:39:32-07:00,1,17
style.css,23,css,ec52a4e3,debsterzzz,2025-10-13,21:12:53,-07:00,2025-10-13T21:12:53-07:00,0,0
style.css,24,css,b1579daf,debsterzzz,2025-10-13,23:01:03,-07:00,2025-10-13T23:01:03-07:00,0,40
style.css,25,css,ec52a4e3,debsterzzz,2025-10-13,21:12:53,-07:00,2025-10-13T21:12:53-07:00,1,30
style.css,26,css,b1579daf,debsterzzz,2025-10-13,23:01:03,-07:00,2025-10-13T23:01:03-07:00,1,25
style.css,27,css,b1579daf,debsterzzz,2025-10-13,23:01:03,-07:00,2025-10-13T23:01:03-07:00,1,33
style.css,28,css,ec52a4e3,debsterzzz,2025-10-13,21:12:53,-07:00,2025-10-13T21:12:53-07:00,0,0
style.css,29,css,d7779ccf,debsterzzz,2025-10-13,21:39:32,-07:00,2025-10-13T21:39:32-07:00,0,51
style.css,30,css,ec52a4e3,debsterzzz,2025-10-13,21:12:53,-07:00,2025-10-13T21:12:53-07:00,1,32
style.css,31,css,ec52a4e3,debsterzzz,2025-10-13,21:12:53,-07:00,2025-10-13T21:12:53-07:00,0,11
style.css,32,css,ec52a4e3,debsterzzz,2025-10-13,21:12:53,-07:00,2025-10-13T21:12:53-07:00,1,45
style.css,33,css,ec52a4e3,debsterzzz,2025-10-13,21:12:53,-07:00,2025-10-13T21:12:53-07:00,1,33
style.css,34,css,1f275019,debsterzzz,2025-10-22,03:07:58,-07:00,2025-10-22T03:07:58-07:00,1,69
style.css,35,css,d7779ccf,debsterzzz,2025-10-13,21:39:32,-07:00,2025-10-13T21:39:32-07:00,0,0
style.css,36,css,d7779ccf,debsterzzz,2025-10-13,21:39:32,-07:00,2025-10-13T21:39:32-07:00,0,4
style.css,37,css,d7779ccf,debsterzzz,2025-10-13,21:39:32,-07:00,2025-10-13T21:39:32-07:00,0,7
style.css,38,css,d7779ccf,debsterzzz,2025-10-13,21:39:32,-07:00,2025-10-13T21:39:32-07:00,0,6
style.css,39,css,d7779ccf,debsterzzz,2025-10-13,21:39:32,-07:00,2025-10-13T21:39:32-07:00,1,12
style.css,40,css,d7779ccf,debsterzzz,2025-10-13,21:39:32,-07:00,2025-10-13T21:39:32-07:00,1,13
style.css,41,css,d7779ccf,debsterzzz,2025-10-13,21:39:32,-07:00,2025-10-13T21:39:32-07:00,1,9
style.css,42,css,d7779ccf,debsterzzz,2025-10-13,21:39:32,-07:00,2025-10-13T21:39:32-07:00,1,21
style.css,43,css,d7779ccf,debsterzzz,2025-10-13,21:39:32,-07:00,2025-10-13T21:39:32-07:00,0,0
style.css,44,css,ba906afe,debsterzzz,2025-10-13,21:46:19,-07:00,2025-10-13T21:46:19-07:00,0,25
